Date,True_IV,AR-GARCH_Forecast,Constant-GARCH_Forecast,GJR-GARCH_Forecast
2024-06-03,0.2079,28.314232078801975,28.28435246471253,29.07817761726531
2024-06-04,0.2006,27.125525534122403,27.07630939218865,27.925424632406965
2024-06-05,0.2003,25.087469186794806,25.106823229914227,25.79096509519729
2024-06-06,0.1952,27.222525196516884,27.292755776248324,28.26244807903473
2024-06-07,0.1941,26.276683379919287,26.56319665821287,27.0405898766257
2024-06-11,0.1764,24.269841376701862,24.519134825045274,24.946131253898347
2024-06-12,0.1804,25.677300683491353,25.90179645132699,26.6095921258693
2024-06-13,0.1649,23.639847093101235,23.856243679112513,24.473481542020014
2024-06-14,0.17,21.779058603645787,21.999758818153705,22.523994417657235
2024-06-17,0.1793,20.397180578798093,20.618109218696663,21.083867960540235
2024-06-18,0.1626,22.10520391286236,22.16437965092116,23.00561722305596
2024-06-19,0.1565,20.42836460544752,20.538505839977166,21.222371702990625
2024-06-20,0.1796,19.52217345084918,19.605557025330334,20.144006390977204
2024-06-21,0.1601,18.23668529856648,18.29045958007676,18.76303599672938
2024-06-24,0.152,16.879511092901975,16.94511472754583,17.337285892713385
2024-06-25,0.1482,16.508241270390506,16.55318406585016,16.973671515567883
2024-06-26,0.1488,15.309874580696931,15.352730476535452,15.70941052373274
2024-06-27,0.1476,14.326250984969152,14.368332810789646,14.669556365562876
2024-06-28,0.1558,15.44988913028662,15.432238157966315,15.918992781594635
2024-07-01,0.149,15.538040981786072,15.658627590988495,15.815502990475727
2024-07-02,0.1458,14.660850641771729,14.825768872493548,14.90675216334016
2024-07-03,0.1432,14.429840107742569,14.61087844700163,14.564676582385966
2024-07-04,0.1453,15.321600530370043,15.346801551597448,15.264411804893495
2024-07-05,0.1545,14.41538574990281,14.40409434921246,14.347563429660475
2024-07-08,0.1547,13.963259949162515,13.935859957717557,13.85692713272751
2024-07-09,0.1563,13.524767396605842,13.546730455847328,13.464451837331609
2024-07-10,0.1447,13.241837959729796,13.310137638533565,13.135994128271047
2024-07-11,0.1447,14.250355227583944,14.386134002825935,14.349213628736221
2024-07-12,0.1397,13.488084958603991,13.669081937245647,13.554385729844094
2024-07-15,0.137,14.761036692950773,14.944981992274823,15.023697473538526
2024-07-16,0.1279,14.235294074004292,14.497712533570654,14.413264573136987
2024-07-17,0.1371,13.427542278712501,13.692186807967571,13.579525000831714
2024-07-18,0.1309,14.12771483690084,14.286014654498375,14.39819902326588
2024-07-19,0.1706,13.315394756328253,13.430691969245053,13.546232410109948
2024-07-22,0.1362,19.094214712511505,19.067275369229584,19.93318146377484
2024-07-23,0.1397,19.164103424975593,18.889512845885253,20.02700802980854
2024-07-24,0.1391,19.895849457327575,19.530603763874762,20.840432501998276
2024-07-25,0.1572,18.443811415799196,18.178806485297578,19.25302279909293
2024-07-26,0.146,23.731660779519494,23.568067000029775,25.059184701345323
2024-07-29,0.1449,23.33012334323361,23.49977418983527,24.274157722911312
2024-07-30,0.1466,21.43655006606415,21.62798461883335,22.267175925043706
2024-07-31,0.15,20.47645215425645,20.638783752490195,21.268147120843818
2024-08-01,0.146,20.588629377736517,20.828740859827523,21.064956428122137
2024-08-02,0.1614,19.188860717450307,19.36329177780653,19.585930917729314
